age,sex,province,n
16,Male,Ontario,3
16,Male,Quebec,3
16,Male,Saskatchewan,2
16,Female,Alberta,1
16,Female,British Columbia,1
16,Female,New Brunswick,1
16,Female,Ontario,1
16,Female,Prince Edward Island,1
16,Female,Quebec,1
16,Male,Alberta,1
16,Male,British Columbia,2
16,Male,New Brunswick,1
16,Male,Newfoundland and Labrador,1
16,Male,Ontario,1
16,Male,Saskatchewan,1
16,Female,British Columbia,2
16,Female,Quebec,3
16,Male,Newfoundland and Labrador,1
16,Male,Ontario,1
16,Male,Prince Edward Island,1
16,Male,Quebec,3
16,Female,British Columbia,1
16,Female,Ontario,3
16,Female,Quebec,1
16,Female,Saskatchewan,1
16,Male,New Brunswick,2
16,Male,Nova Scotia,1
16,Male,Ontario,2
16,Female,Alberta,3
16,Female,British Columbia,1
16,Female,Manitoba,1
16,Female,New Brunswick,2
16,Female,Quebec,2
16,Male,Nova Scotia,1
16,Male,Ontario,3
16,Male,Quebec,1
16,Female,British Columbia,1
16,Female,New Brunswick,2
16,Female,Newfoundland and Labrador,1
16,Female,Nova Scotia,1
16,Female,Ontario,5
16,Female,Prince Edward Island,1
16,Female,Quebec,3
16,Female,Saskatchewan,1
16,Male,Alberta,4
16,Male,British Columbia,1
16,Male,New Brunswick,1
16,Male,Ontario,7
16,Male,Prince Edward Island,1
16,Male,Quebec,6
16,Male,Saskatchewan,1
16,Female,Alberta,1
16,Female,Manitoba,1
16,Female,Newfoundland and Labrador,1
16,Female,Ontario,3
16,Female,Quebec,2
16,Male,Ontario,2
16,Male,Saskatchewan,1
17,Female,Alberta,1
17,Female,Manitoba,2
17,Female,New Brunswick,1
17,Female,Quebec,4
17,Female,Saskatchewan,1
17,Male,Alberta,1
17,Male,Ontario,3
17,Male,Quebec,1
17,Male,Saskatchewan,1
17,Female,British Columbia,2
17,Female,Manitoba,1
17,Female,New Brunswick,1
17,Female,Ontario,4
17,Female,Quebec,1
17,Male,Ontario,3
17,Male,Prince Edward Island,1
17,Male,Quebec,2
17,Female,New Brunswick,1
17,Female,Ontario,2
17,Female,Quebec,1
17,Male,Alberta,1
17,Male,British Columbia,1
17,Male,Manitoba,1
17,Male,New Brunswick,1
17,Male,Newfoundland and Labrador,1
17,Male,Ontario,3
17,Female,New Brunswick,1
17,Female,Newfoundland and Labrador,1
17,Female,Nova Scotia,1
17,Female,Ontario,6
17,Female,Prince Edward Island,1
17,Female,Quebec,1
17,Male,Alberta,1
17,Male,British Columbia,2
17,Male,Newfoundland and Labrador,1
17,Male,Nova Scotia,1
17,Male,Ontario,4
17,Male,Quebec,2
17,Male,Saskatchewan,2
17,Female,Alberta,1
17,Female,Manitoba,2
17,Female,Nova Scotia,1
17,Female,Quebec,3
17,Male,Newfoundland and Labrador,2
17,Male,Ontario,3
17,Male,Saskatchewan,2
17,Female,Alberta,1
17,Female,Manitoba,1
17,Female,Newfoundland and Labrador,1
17,Female,Ontario,5
17,Female,Quebec,1
17,Male,British Columbia,1
17,Male,Ontario,4
17,Male,Quebec,1
17,Female,British Columbia,1
17,Female,Newfoundland and Labrador,1
17,Female,Ontario,4
17,Female,Prince Edward Island,1
17,Female,Saskatchewan,2
17,Male,Alberta,1
17,Male,British Columbia,1
17,Male,Ontario,1
17,Male,Quebec,1
17,Male,Saskatchewan,1
17,Female,Alberta,1
17,Female,Ontario,1
17,Female,Quebec,1
17,Male,New Brunswick,1
17,Male,Ontario,5
17,Male,Quebec,2
17,Female,British Columbia,2
17,Female,Manitoba,1
17,Female,New Brunswick,1
17,Female,Ontario,4
17,Female,Prince Edward Island,1
17,Female,Quebec,2
17,Male,British Columbia,2
17,Male,New Brunswick,3
17,Male,Newfoundland and Labrador,1
17,Male,Prince Edward Island,1
17,Male,Saskatchewan,1
17,Female,Alberta,2
17,Female,British Columbia,2
17,Female,Nova Scotia,1
17,Female,Ontario,3
17,Male,Alberta,2
17,Male,British Columbia,1
17,Male,Newfoundland and Labrador,1
17,Male,Ontario,2
17,Male,Quebec,2
18,Female,Alberta,1
18,Female,British Columbia,1
18,Female,New Brunswick,2
18,Female,Newfoundland and Labrador,1
18,Female,Ontario,1
18,Female,Saskatchewan,1
18,Male,British Columbia,1
18,Male,Ontario,1
18,Male,Saskatchewan,1
18,Female,New Brunswick,1
18,Female,Ontario,2
18,Male,British Columbia,1
18,Male,Nova Scotia,1
18,Male,Ontario,2
18,Male,Prince Edward Island,1
18,Male,Quebec,3
18,Male,Saskatchewan,1
18,Female,Alberta,1
18,Female,Manitoba,1
18,Female,Ontario,1
18,Male,Alberta,1
18,Male,British Columbia,2
18,Male,Newfoundland and Labrador,1
18,Female,Newfoundland and Labrador,1
18,Female,Ontario,3
18,Female,Quebec,1
18,Female,Saskatchewan,3
18,Male,Alberta,1
18,Male,British Columbia,3
18,Male,New Brunswick,3
18,Male,Newfoundland and Labrador,2
18,Male,Ontario,2
18,Male,Prince Edward Island,1
18,Male,Quebec,3
18,Male,Saskatchewan,2
18,Female,Alberta,1
18,Female,Manitoba,1
18,Female,Ontario,1
18,Female,Quebec,1
18,Male,Alberta,1
18,Male,Nova Scotia,1
18,Male,Quebec,1
18,Female,Alberta,1
18,Female,British Columbia,1
18,Female,Ontario,2
18,Female,Saskatchewan,1
18,Male,British Columbia,1
18,Male,Nova Scotia,1
18,Male,Ontario,2
18,Male,Quebec,1
18,Female,Alberta,1
18,Female,British Columbia,1
18,Female,Manitoba,1
18,Female,Ontario,2
18,Female,Prince Edward Island,1
18,Female,Quebec,3
18,Female,Saskatchewan,1
18,Male,Alberta,1
18,Male,Nova Scotia,1
18,Male,Ontario,2
18,Male,Quebec,1
18,Female,British Columbia,1
18,Female,Ontario,2
18,Male,British Columbia,1
18,Male,Manitoba,2
18,Male,Newfoundland and Labrador,1
18,Male,Ontario,1
18,Male,Quebec,1
18,Female,Alberta,3
18,Female,British Columbia,4
18,Female,Newfoundland and Labrador,1
18,Female,Ontario,1
18,Female,Quebec,3
18,Male,Alberta,2
18,Male,British Columbia,4
18,Male,New Brunswick,1
18,Male,Newfoundland and Labrador,1
18,Male,Ontario,2
18,Male,Quebec,2
18,Female,British Columbia,3
18,Female,Nova Scotia,1
18,Female,Ontario,3
18,Male,Nova Scotia,1
18,Male,Ontario,2
18,Male,Prince Edward Island,1
19,Female,Ontario,1
19,Male,Alberta,2
19,Male,Nova Scotia,1
19,Male,Quebec,1
19,Female,British Columbia,1
19,Female,Ontario,3
19,Female,Saskatchewan,3
19,Male,Ontario,1
19,Male,Prince Edward Island,1
19,Female,Manitoba,1
19,Female,New Brunswick,1
19,Female,Ontario,3
19,Female,Saskatchewan,1
19,Male,Alberta,2
19,Male,British Columbia,1
19,Male,New Brunswick,1
19,Male,Newfoundland and Labrador,1
19,Female,Alberta,2
19,Female,Manitoba,2
19,Female,New Brunswick,1
19,Female,Ontario,1
19,Female,Prince Edward Island,1
19,Female,Quebec,2
19,Male,British Columbia,2
19,Male,Nova Scotia,1
19,Male,Ontario,1
19,Male,Quebec,1
19,Male,Saskatchewan,1
19,Female,Manitoba,1
19,Female,Newfoundland and Labrador,1
19,Female,Nova Scotia,1
19,Female,Ontario,3
19,Female,Quebec,1
19,Male,British Columbia,1
19,Male,Manitoba,2
19,Male,Newfoundland and Labrador,1
19,Male,Nova Scotia,1
19,Male,Ontario,5
19,Male,Prince Edward Island,1
19,Male,Quebec,2
19,Male,Saskatchewan,2
19,Female,Alberta,1
19,Female,New Brunswick,1
19,Female,Ontario,2
19,Female,Quebec,1
19,Male,Alberta,1
19,Male,British Columbia,1
19,Male,New Brunswick,1
19,Male,Ontario,2
19,Male,Quebec,3
19,Female,Ontario,1
19,Female,Quebec,1
19,Male,Ontario,1
19,Male,Prince Edward Island,1
19,Male,Quebec,1
19,Male,Saskatchewan,1
19,Female,British Columbia,1
19,Female,Manitoba,1
19,Female,Newfoundland and Labrador,1
19,Female,Ontario,4
19,Male,Alberta,1
19,Male,Manitoba,1
19,Male,Ontario,1
19,Male,Quebec,2
19,Female,Alberta,4
19,Female,British Columbia,1
19,Female,New Brunswick,2
19,Female,Ontario,2
19,Female,Quebec,6
19,Male,Alberta,1
19,Male,British Columbia,4
19,Male,Manitoba,2
19,Male,Ontario,4
19,Female,Manitoba,1
19,Female,Newfoundland and Labrador,1
19,Female,Nova Scotia,1
19,Female,Ontario,3
19,Female,Prince Edward Island,1
19,Female,Quebec,2
19,Male,Alberta,2
19,Male,Ontario,3
19,Male,Prince Edward Island,2
19,Male,Quebec,2
19,Male,Saskatchewan,1
20,Female,Nova Scotia,1
20,Female,Ontario,1
20,Male,British Columbia,2
20,Male,Manitoba,1
20,Male,Nova Scotia,2
20,Male,Ontario,4
20,Male,Quebec,2
20,Female,Newfoundland and Labrador,2
20,Female,Nova Scotia,2
20,Female,Ontario,3
20,Female,Quebec,1
20,Male,Alberta,1
20,Male,British Columbia,2
20,Male,New Brunswick,1
20,Male,Ontario,1
20,Male,Prince Edward Island,1
20,Female,Quebec,2
20,Male,Alberta,1
20,Male,British Columbia,1
20,Male,Manitoba,1
20,Male,New Brunswick,1
20,Male,Nova Scotia,2
20,Male,Ontario,4
20,Female,British Columbia,1
20,Female,Manitoba,1
20,Female,Newfoundland and Labrador,2
20,Female,Ontario,1
20,Female,Quebec,2
20,Male,Alberta,1
20,Male,Manitoba,2
20,Male,Newfoundland and Labrador,1
20,Male,Ontario,6
20,Male,Quebec,2
20,Male,Saskatchewan,1
20,Female,Newfoundland and Labrador,1
20,Female,Ontario,1
20,Female,Quebec,1
20,Male,Alberta,1
20,Male,Ontario,2
20,Male,Quebec,2
20,Male,Saskatchewan,1
20,Female,Ontario,1
20,Female,Quebec,1
20,Female,Saskatchewan,2
20,Male,Alberta,2
20,Male,Ontario,3
20,Male,Quebec,1
20,Female,Nova Scotia,2
20,Female,Ontario,5
20,Female,Quebec,1
20,Male,Nova Scotia,1
20,Male,Ontario,1
20,Male,Quebec,2
20,Female,British Columbia,3
20,Female,Newfoundland and Labrador,1
20,Female,Quebec,2
20,Male,Alberta,1
20,Male,British Columbia,2
20,Male,Quebec,2
20,Female,Alberta,3
20,Female,British Columbia,1
20,Female,Nova Scotia,1
20,Female,Ontario,4
20,Female,Quebec,2
20,Male,British Columbia,1
20,Male,Nova Scotia,1
20,Male,Ontario,3
20,Male,Prince Edward Island,1
20,Male,Quebec,4
20,Male,Saskatchewan,3
20,Female,Alberta,1
20,Female,British Columbia,2
20,Female,Newfoundland and Labrador,1
20,Female,Ontario,2
20,Female,Quebec,1
20,Male,British Columbia,1
20,Male,Nova Scotia,2
20,Male,Ontario,2
20,Male,Prince Edward Island,1
21,Female,British Columbia,1
21,Female,Ontario,1
21,Female,Quebec,1
21,Male,Alberta,1
21,Male,British Columbia,2
21,Male,Manitoba,1
21,Male,Newfoundland and Labrador,1
21,Male,Ontario,3
21,Male,Quebec,4
21,Male,Saskatchewan,1
21,Female,British Columbia,1
21,Female,Manitoba,1
21,Female,New Brunswick,1
21,Female,Newfoundland and Labrador,1
21,Female,Ontario,3
21,Female,Prince Edward Island,1
21,Female,Quebec,1
21,Male,Manitoba,1
21,Male,Ontario,2
21,Male,Quebec,1
21,Female,Manitoba,1
21,Female,Nova Scotia,1
21,Female,Ontario,2
21,Female,Quebec,1
21,Male,British Columbia,1
21,Male,Manitoba,1
21,Male,New Brunswick,1
21,Male,Ontario,4
21,Male,Quebec,2
21,Female,Alberta,1
21,Female,Manitoba,2
21,Female,New Brunswick,1
21,Female,Nova Scotia,2
21,Female,Ontario,5
21,Female,Prince Edward Island,1
21,Female,Quebec,2
21,Male,Alberta,2
21,Male,British Columbia,1
21,Male,Manitoba,3
21,Male,Nova Scotia,1
21,Male,Ontario,2
21,Male,Quebec,2
21,Female,Ontario,2
21,Male,Alberta,1
21,Male,New Brunswick,1
21,Male,Nova Scotia,1
21,Male,Ontario,4
21,Male,Quebec,1
21,Male,Saskatchewan,1
21,Female,Alberta,1
21,Female,Ontario,3
21,Female,Quebec,3
21,Male,Alberta,1
21,Male,Nova Scotia,1
21,Male,Ontario,4
21,Male,Prince Edward Island,1
21,Female,Manitoba,1
21,Female,Ontario,2
21,Female,Quebec,1
21,Male,Alberta,2
21,Male,British Columbia,2
21,Male,Ontario,2
21,Female,Quebec,1
21,Female,Saskatchewan,1
21,Male,Alberta,1
21,Male,Ontario,2
21,Female,New Brunswick,2
21,Female,Newfoundland and Labrador,1
21,Female,Ontario,2
21,Female,Quebec,3
21,Female,Saskatchewan,1
21,Male,British Columbia,2
21,Male,Manitoba,1
21,Male,New Brunswick,1
21,Male,Nova Scotia,2
21,Male,Ontario,4
21,Male,Saskatchewan,1
21,Female,Alberta,1
21,Female,British Columbia,1
21,Female,Manitoba,1
21,Female,New Brunswick,1
21,Female,Newfoundland and Labrador,1
21,Female,Ontario,2
21,Female,Prince Edward Island,1
21,Female,Quebec,4
21,Male,British Columbia,1
21,Male,Manitoba,1
21,Male,New Brunswick,1
21,Male,Ontario,2
21,Male,Quebec,1
22,Female,Alberta,3
22,Female,British Columbia,1
22,Female,Manitoba,1
22,Female,Nova Scotia,1
22,Female,Ontario,1
22,Female,Quebec,1
22,Male,Alberta,1
22,Male,Ontario,1
22,Male,Quebec,4
22,Male,Saskatchewan,1
22,Female,British Columbia,1
22,Female,Manitoba,1
22,Female,New Brunswick,1
22,Female,Ontario,3
22,Female,Prince Edward Island,1
22,Female,Quebec,1
22,Female,Saskatchewan,2
22,Male,Alberta,1
22,Male,British Columbia,3
22,Male,Manitoba,1
22,Male,Ontario,3
22,Male,Quebec,1
22,Male,Saskatchewan,1
22,Female,Alberta,1
22,Female,New Brunswick,1
22,Female,Nova Scotia,1
22,Female,Ontario,2
22,Male,Manitoba,1
22,Male,New Brunswick,1
22,Male,Ontario,1
22,Male,Quebec,1
22,Female,Alberta,3
22,Female,British Columbia,2
22,Female,Newfoundland and Labrador,1
22,Female,Nova Scotia,2
22,Female,Ontario,4
22,Female,Prince Edward Island,1
22,Female,Quebec,2
22,Female,Saskatchewan,2
22,Male,Alberta,1
22,Male,British Columbia,4
22,Male,Manitoba,1
22,Male,Ontario,7
22,Male,Prince Edward Island,1
22,Male,Quebec,3
22,Male,Saskatchewan,1
22,Female,Alberta,1
22,Female,British Columbia,2
22,Female,New Brunswick,2
22,Female,Newfoundland and Labrador,1
22,Female,Ontario,4
22,Female,Saskatchewan,1
22,Male,Alberta,1
22,Male,Ontario,2
22,Male,Prince Edward Island,1
22,Male,Quebec,4
22,Female,British Columbia,1
22,Female,Newfoundland and Labrador,1
22,Female,Ontario,4
22,Female,Quebec,3
22,Male,Alberta,1
22,Male,British Columbia,2
22,Male,Manitoba,2
22,Male,Newfoundland and Labrador,1
22,Male,Nova Scotia,1
22,Male,Ontario,2
22,Female,Quebec,1
22,Female,Saskatchewan,1
22,Male,British Columbia,3
22,Male,Manitoba,1
22,Male,Newfoundland and Labrador,1
22,Male,Ontario,4
22,Male,Quebec,2
22,Female,Alberta,1
22,Female,British Columbia,3
22,Female,Manitoba,1
22,Female,Nova Scotia,1
22,Female,Ontario,1
22,Female,Saskatchewan,1
22,Male,Nova Scotia,4
22,Female,Alberta,2
22,Female,British Columbia,1
22,Female,New Brunswick,1
22,Female,Newfoundland and Labrador,2
22,Female,Nova Scotia,1
22,Female,Ontario,5
22,Female,Prince Edward Island,1
22,Female,Quebec,1
22,Male,Alberta,2
22,Male,British Columbia,5
22,Male,Manitoba,1
22,Male,Newfoundland and Labrador,2
22,Male,Nova Scotia,2
22,Male,Ontario,7
22,Male,Quebec,1
22,Female,Alberta,1
22,Female,Nova Scotia,1
22,Female,Ontario,6
22,Female,Quebec,3
22,Female,Saskatchewan,1
22,Male,Alberta,1
22,Male,Newfoundland and Labrador,1
22,Male,Ontario,1
22,Male,Quebec,2
23,Female,New Brunswick,1
23,Female,Newfoundland and Labrador,1
23,Female,Ontario,2
23,Female,Quebec,1
23,Male,Alberta,1
23,Male,British Columbia,1
23,Male,Manitoba,1
23,Male,New Brunswick,1
23,Male,Ontario,1
23,Male,Prince Edward Island,1
23,Female,British Columbia,1
23,Female,Newfoundland and Labrador,1
23,Female,Ontario,1
23,Female,Prince Edward Island,1
23,Female,Quebec,1
23,Female,Saskatchewan,1
23,Male,Alberta,1
23,Male,New Brunswick,1
23,Male,Nova Scotia,2
23,Male,Ontario,3
23,Male,Prince Edward Island,2
23,Male,Quebec,1
23,Female,Alberta,1
23,Female,British Columbia,2
23,Female,Manitoba,1
23,Female,Nova Scotia,1
23,Female,Ontario,2
23,Female,Quebec,2
23,Male,Manitoba,1
23,Male,Prince Edward Island,1
23,Male,Quebec,1
23,Female,Alberta,2
23,Female,British Columbia,1
23,Female,Manitoba,1
23,Female,New Brunswick,2
23,Female,Nova Scotia,1
23,Female,Ontario,4
23,Female,Quebec,2
23,Male,British Columbia,2
23,Male,Manitoba,3
23,Male,New Brunswick,3
23,Male,Nova Scotia,2
23,Male,Ontario,3
23,Male,Quebec,2
23,Male,Saskatchewan,2
23,Female,Alberta,1
23,Female,British Columbia,1
23,Female,Newfoundland and Labrador,1
23,Female,Ontario,4
23,Female,Prince Edward Island,2
23,Female,Quebec,1
23,Male,Alberta,1
23,Male,New Brunswick,1
23,Male,Newfoundland and Labrador,1
23,Male,Ontario,4
23,Female,New Brunswick,1
23,Female,Newfoundland and Labrador,1
23,Female,Nova Scotia,1
23,Female,Ontario,1
23,Female,Quebec,1
23,Male,Alberta,1
23,Male,Newfoundland and Labrador,1
23,Male,Ontario,1
23,Male,Prince Edward Island,2
23,Male,Quebec,1
23,Female,Alberta,1
23,Female,British Columbia,2
23,Female,Manitoba,3
23,Female,Newfoundland and Labrador,1
23,Female,Ontario,2
23,Female,Quebec,1
23,Male,British Columbia,1
23,Male,Manitoba,1
23,Male,New Brunswick,1
23,Male,Ontario,1
23,Male,Quebec,2
23,Female,Ontario,4
23,Female,Quebec,2
23,Female,Saskatchewan,2
23,Male,Alberta,1
23,Male,Nova Scotia,1
23,Male,Prince Edward Island,1
23,Male,Quebec,1
23,Male,Saskatchewan,2
23,Female,Alberta,1
23,Female,British Columbia,3
23,Female,Manitoba,1
23,Female,Newfoundland and Labrador,1
23,Female,Ontario,4
23,Female,Quebec,3
23,Female,Saskatchewan,1
23,Male,Alberta,1
23,Male,British Columbia,2
23,Male,Ontario,4
23,Male,Quebec,4
23,Male,Saskatchewan,1
23,Female,Alberta,2
23,Female,British Columbia,1
23,Female,New Brunswick,2
23,Female,Nova Scotia,1
23,Female,Ontario,1
23,Female,Quebec,1
23,Female,Saskatchewan,1
23,Male,Ontario,2
23,Male,Quebec,1
23,Male,Saskatchewan,1
24,Female,Alberta,1
24,Female,Ontario,2
24,Female,Prince Edward Island,2
24,Male,British Columbia,1
24,Male,Newfoundland and Labrador,1
24,Male,Ontario,1
24,Male,Prince Edward Island,2
24,Male,Quebec,1
24,Male,Saskatchewan,1
24,Female,Alberta,1
24,Female,Manitoba,1
24,Female,New Brunswick,2
24,Female,Nova Scotia,2
24,Female,Ontario,4
24,Female,Quebec,1
24,Female,Saskatchewan,1
24,Male,Alberta,1
24,Male,New Brunswick,1
24,Male,Nova Scotia,1
24,Male,Prince Edward Island,1
24,Male,Quebec,1
24,Male,Saskatchewan,2
24,Female,British Columbia,2
24,Female,Newfoundland and Labrador,1
24,Female,Ontario,2
24,Female,Quebec,1
24,Female,Saskatchewan,2
24,Male,Alberta,1
24,Male,British Columbia,1
24,Male,Newfoundland and Labrador,1
24,Male,Ontario,3
24,Male,Quebec,1
24,Female,Alberta,3
24,Female,British Columbia,3
24,Female,New Brunswick,1
24,Female,Newfoundland and Labrador,3
24,Female,Nova Scotia,1
24,Female,Ontario,8
24,Female,Quebec,5
24,Male,Alberta,3
24,Male,British Columbia,3
24,Male,Manitoba,2
24,Male,New Brunswick,2
24,Male,Ontario,3
24,Male,Quebec,3
24,Male,Saskatchewan,1
24,Female,Alberta,1
24,Female,British Columbia,1
24,Male,New Brunswick,1
24,Male,Newfoundland and Labrador,1
24,Male,Nova Scotia,1
24,Male,Ontario,1
24,Male,Quebec,1
24,Female,Alberta,2
24,Female,Manitoba,2
24,Female,Nova Scotia,2
24,Female,Ontario,4
24,Female,Prince Edward Island,1
24,Male,British Columbia,2
24,Male,Newfoundland and Labrador,1
24,Male,Ontario,1
24,Male,Quebec,3
24,Male,Saskatchewan,4
24,Female,British Columbia,1
24,Female,Manitoba,1
24,Female,New Brunswick,1
24,Female,Ontario,2
24,Female,Quebec,1
24,Male,Alberta,1
24,Male,New Brunswick,1
24,Male,Ontario,1
24,Male,Quebec,2
24,Female,British Columbia,3
24,Female,Manitoba,2
24,Female,New Brunswick,1
24,Female,Nova Scotia,3
24,Female,Ontario,2
24,Female,Quebec,1
24,Male,British Columbia,1
24,Male,Newfoundland and Labrador,1
24,Male,Nova Scotia,1
24,Male,Quebec,3
24,Female,Alberta,2
24,Female,British Columbia,6
24,Female,Manitoba,1
24,Female,New Brunswick,1
24,Female,Nova Scotia,2
24,Female,Ontario,6
24,Female,Quebec,4
24,Male,Alberta,3
24,Male,British Columbia,2
24,Male,Manitoba,1
24,Male,New Brunswick,1
24,Male,Ontario,3
24,Male,Quebec,1
24,Female,Alberta,2
24,Female,British Columbia,1
24,Female,Manitoba,1
24,Female,New Brunswick,1
24,Female,Ontario,1
24,Female,Prince Edward Island,1
24,Female,Saskatchewan,2
24,Male,British Columbia,1
24,Male,Manitoba,1
24,Male,Newfoundland and Labrador,1
24,Male,Ontario,3
25,Female,Alberta,1
25,Female,British Columbia,1
25,Female,Nova Scotia,1
25,Female,Ontario,3
25,Female,Prince Edward Island,1
25,Female,Quebec,3
25,Male,British Columbia,2
25,Male,Manitoba,1
25,Male,Newfoundland and Labrador,1
25,Male,Ontario,3
25,Male,Quebec,2
25,Female,British Columbia,1
25,Female,Manitoba,1
25,Female,Nova Scotia,2
25,Female,Ontario,3
25,Female,Quebec,3
25,Female,Saskatchewan,3
25,Male,Alberta,2
25,Male,British Columbia,2
25,Male,Manitoba,1
25,Male,Newfoundland and Labrador,1
25,Male,Ontario,3
25,Male,Quebec,2
25,Female,Alberta,1
25,Female,Quebec,3
25,Male,Alberta,1
25,Male,Manitoba,1
25,Male,New Brunswick,1
25,Male,Nova Scotia,2
25,Male,Ontario,3
25,Male,Quebec,1
25,Male,Saskatchewan,1
25,Female,Alberta,2
25,Female,British Columbia,1
25,Female,Manitoba,1
25,Female,Nova Scotia,1
25,Female,Ontario,1
25,Female,Quebec,3
25,Female,Saskatchewan,1
25,Male,Alberta,1
25,Male,British Columbia,2
25,Male,Manitoba,1
25,Male,New Brunswick,1
25,Male,Newfoundland and Labrador,1
25,Male,Nova Scotia,2
25,Male,Ontario,3
25,Male,Prince Edward Island,1
25,Male,Quebec,4
25,Male,Saskatchewan,2
25,Female,Alberta,2
25,Female,New Brunswick,2
25,Female,Newfoundland and Labrador,1
25,Female,Ontario,2
25,Female,Quebec,1
25,Female,Saskatchewan,1
25,Male,Nova Scotia,2
25,Male,Ontario,3
25,Male,Quebec,2
25,Female,British Columbia,2
25,Female,Manitoba,1
25,Female,New Brunswick,1
25,Female,Ontario,3
25,Female,Quebec,4
25,Male,Alberta,1
25,Male,British Columbia,1
25,Male,Manitoba,2
25,Male,Nova Scotia,2
25,Male,Ontario,2
25,Male,Saskatchewan,1
25,Female,Alberta,2
25,Female,British Columbia,2
25,Female,Manitoba,1
25,Female,New Brunswick,1
25,Female,Ontario,1
25,Female,Saskatchewan,2
25,Male,Alberta,2
25,Male,Newfoundland and Labrador,2
25,Male,Ontario,4
25,Male,Quebec,2
25,Female,Alberta,1
25,Female,British Columbia,2
25,Female,Ontario,4
25,Female,Quebec,5
25,Male,British Columbia,2
25,Male,Manitoba,1
25,Male,Nova Scotia,1
25,Male,Ontario,1
25,Male,Quebec,1
25,Female,Alberta,2
25,Female,British Columbia,2
25,Female,Manitoba,1
25,Female,Newfoundland and Labrador,1
25,Female,Ontario,6
25,Female,Quebec,4
25,Female,Saskatchewan,1
25,Male,Alberta,3
25,Male,Manitoba,2
25,Male,Nova Scotia,4
25,Male,Ontario,2
25,Male,Prince Edward Island,2
25,Male,Quebec,3
25,Male,Saskatchewan,2
25,Female,Alberta,1
25,Female,British Columbia,1
25,Female,Manitoba,1
25,Female,Ontario,4
25,Female,Prince Edward Island,1
25,Female,Quebec,2
25,Female,Saskatchewan,1
25,Male,Alberta,1
25,Male,Ontario,3
25,Male,Prince Edward Island,1
25,Male,Saskatchewan,1
26,Female,Alberta,3
26,Female,Manitoba,1
26,Female,Ontario,2
26,Female,Prince Edward Island,1
26,Male,British Columbia,1
26,Male,Newfoundland and Labrador,1
26,Male,Nova Scotia,1
26,Male,Ontario,3
